S1766,Citric+Acid
S204,Stearic+Acid
S798,Salicylic+Acid
S3,Citric+Acid
S8386,Stearic+Acid
S220,Salicylic+Acid
S8001,Citric+Acid
S2398,Citric+Acid
S8535,Sodium+Phytate
S803,Citric+Acid
S846,Citric+Acid
S1746,Malic+Acid
S7337,Stearic+Acid
S10182,Citric+Acid
S237,Stearic+Acid
S1566,Citric+Acid
S826,Stearic+Acid
S1095,Stearic+Acid
S6878,Salicylic+Acid
S639,Citric+Acid
S1401,Citric+Acid
S9385,Salicylic+Acid
S1346,Citric+Acid
S757,Citric+Acid
S802,Malic+Acid
S9737,Salicylic+Acid
S513,Salicylic+Acid
S8830,Citric+Acid
S10177,Sodium+Phytate
S2293,Stearic+Acid
S9345,Citric+Acid
S6082,Stearic+Acid
S2148,Citric+Acid
S2336,Sodium+Phytate
S214,Stearic+Acid
S9584,Sodium+Phytate
S146,Stearic+Acid
S1674,Stearic+Acid
S1408,Sodium+Phytate
S6325,Salicylic+Acid
S6683,Citric+Acid
S811,Stearic+Acid
S1226,Citric+Acid
S9222,Citric+Acid
S895,Citric+Acid
S10179,Citric+Acid
S952,Citric+Acid
S951,Stearic+Acid
S7909,Stearic+Acid
S2168,Citric+Acid
S9350,Citric+Acid
S9088,Salicylic+Acid
S525,Citric+Acid
S8021,Malic+Acid
S2141,Salicylic+Acid
S2403,Stearic+Acid
S2145,Citric+Acid
S7569,Salicylic+Acid
S7878,Stearic+Acid
S8823,Salicylic+Acid
